Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (6.84933, 18.7906)
2: (x,y) = (26.6234, 21.7881)
3: (x,y) = (10.2377, 10.3205)
4: (x,y) = (23.444, -4.69924)
5: (x,y) = (38.9777, -17.297)
6: (x,y) = (58.9495, -16.2353)
7: (x,y) = (52.0996, 2.55507)
8: (x,y) = (46.7662, 21.8308)
9: (x,y) = (35.6644, 5.19499)
10: (x,y) = (18.0706, -4.31602)
11: (x,y) = (0.824568, -14.4438)
12: (x,y) = (13.8979, -29.5795)
13: (x,y) = (32.3329, -37.3351)
14: (x,y) = (37.6658, -18.0592)
15: (x,y) = (31.4853, 0.961863)
16: (x,y) = (33.8689, 20.8193)
17: (x,y) = (20.011, 35.2401)
18: (x,y) = (39.2144, 29.6518)
19: (x,y) = (34.5666, 49.1042)
20: (x,y) = (38.3492, 29.4652)
21: (x,y) = (22.8159, 16.8669)
22: (x,y) = (2.89414, 18.6343)
23: (x,y) = (0.861828, 38.5308)
24: (x,y) = (20.8587, 38.8848)
25: (x,y) = (10.8078, 21.5938)
26: (x,y) = (16.65, 40.7215)
27: (x,y) = (28.9014, 24.9132)
28: (x,y) = (9.60229, 19.6651)
29: (x,y) = (-10.0534, 23.3602)
30: (x,y) = (8.99503, 17.2645)
31: (x,y) = (10.3212, 37.2205)
32: (x,y) = (14.1038, 17.5815)
33: (x,y) = (22.4261, 35.7677)
34: (x,y) = (2.50438, 37.535)
35: (x,y) = (0.120182, 57.3924)
36: (x,y) = (-9.46859, 74.9439)
37: (x,y) = (-29.4561, 75.6513)
38: (x,y) = (-12.2097, 65.524)
39: (x,y) = (-31.9277, 68.8705)
40: (x,y) = (-20.6792, 85.4074)
41: (x,y) = (-3.61475, 74.9764)
42: (x,y) = (2.22745, 94.1041)
43: (x,y) = (-0.856988, 74.3434)
44: (x,y) = (2.57736, 54.6404)
45: (x,y) = (-17.3843, 53.402)
46: (x,y) = (-17.8262, 33.4069)
47: (x,y) = (-16.6761, 13.44)
48: (x,y) = (1.08351, 4.24248)
49: (x,y) = (-11.7194, -11.1226)
50: (x,y) = (2.63991, 2.79899)
51: (x,y) = (-13.8471, 14.1206)
52: (x,y) = (-0.908676, 29.3718)
53: (x,y) = (17.2403, 37.7752)
54: (x,y) = (-0.43729, 47.1295)
55: (x,y) = (3.86482, 66.6613)
56: (x,y) = (20.6466, 55.7814)
57: (x,y) = (38.4867, 64.8219)
58: (x,y) = (58.4233, 63.231)
59: (x,y) = (49.3044, 45.4308)
60: (x,y) = (57.3047, 27.1006)
61: (x,y) = (37.3055, 26.9236)
62: (x,y) = (21.0215, 38.5353)
63: (x,y) = (6.41764, 52.2001)
64: (x,y) = (22.28, 64.3815)
65: (x,y) = (5.30859, 74.9631)
66: (x,y) = (-12.0268, 84.9374)
67: (x,y) = (7.92313, 86.3524)
68: (x,y) = (26.0721, 94.7558)
69: (x,y) = (16.9532, 76.9556)
70: (x,y) = (30.8107, 91.3767)
71: (x,y) = (13.6546, 101.656)
After 71 steps, the subject has the following location:
(m,a) = (102.569, 82.3497)
 or
(m,a) = (102.569, 82.3497)
Average outward distance per step = 1.44464
